idanalytics;analytics_date;analytics_user_key;analytics_session_key;analytics_event_type;analytics_data
15;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":864,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
16;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
17;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;COUNTRY;"{""action"":""Spain"",""lon"":null,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":null}"
18;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;ELEMENTSET;"{""action"":{""elementId"":""2"",""name"":""Pendiente Sfera"",""properties"":[{""name"":""Pendiente Sfera"",""type"":""material"",""value"":""color_3"",""group"":""mat_pendiente_sfera""},{""name"":""Pendiente Sfera_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Sfera"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_sfera""},{""name"":""Enganche Sfera_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
19;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;ELEMENTSET;"{""action"":{""elementId"":""3"",""name"":""Pendiente Quadrato"",""properties"":[{""name"":""Pendiente Quadrato"",""type"":""material"",""value"":""color_4"",""group"":""mat_pendiente_quadrato""},{""name"":""Pendiente Quadrato_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Quadrato"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_quadrato""},{""name"":""Enganche Quadrato_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
20;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;MATERIALSET;"{""action"":{""elementId"":""3"",""name"":""Pendiente Quadrato"",""properties"":[{""name"":""Pendiente Quadrato"",""type"":""material"",""value"":""color_6"",""group"":""mat_pendiente_quadrato""},{""name"":""Pendiente Quadrato_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Quadrato"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_quadrato""},{""name"":""Enganche Quadrato_status"",""type"":""status"",""value"":""N""}]},""label"":""MATERIALSET"",""category"":""MATERIALSET""}"
21;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;MATERIALSET;"{""action"":{""elementId"":""3"",""name"":""Pendiente Quadrato"",""properties"":[{""name"":""Pendiente Quadrato"",""type"":""material"",""value"":""color_7"",""group"":""mat_pendiente_quadrato""},{""name"":""Pendiente Quadrato_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Quadrato"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_quadrato""},{""name"":""Enganche Quadrato_status"",""type"":""status"",""value"":""N""}]},""label"":""MATERIALSET"",""category"":""MATERIALSET""}"
22;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;MATERIALSET;"{""action"":{""elementId"":""3"",""name"":""Pendiente Quadrato"",""properties"":[{""name"":""Pendiente Quadrato"",""type"":""material"",""value"":""color_7"",""group"":""mat_pendiente_quadrato""},{""name"":""Pendiente Quadrato_status"",""type"":""status"",""value"":""N""},{""name"":""Enganche Quadrato"",""type"":""material"",""value"":""color_6"",""group"":""mat_enganche_quadrato""},{""name"":""Enganche Quadrato_status"",""type"":""status"",""value"":""U""}]},""label"":""MATERIALSET"",""category"":""MATERIALSET""}"
23;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;MATERIALSET;"{""action"":{""elementId"":""3"",""name"":""Pendiente Quadrato"",""properties"":[{""name"":""Pendiente Quadrato"",""type"":""material"",""value"":""color_7"",""group"":""mat_pendiente_quadrato""},{""name"":""Pendiente Quadrato_status"",""type"":""status"",""value"":""N""},{""name"":""Enganche Quadrato"",""type"":""material"",""value"":""color_4"",""group"":""mat_enganche_quadrato""},{""name"":""Enganche Quadrato_status"",""type"":""status"",""value"":""U""}]},""label"":""MATERIALSET"",""category"":""MATERIALSET""}"
24;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
85;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;affbdc1c-256f-df31-bdf8-264b21c236e9;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
25;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
26;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
27;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":864,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
28;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
29;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
30;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
31;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
32;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
33;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;0c776cd9-0664-1043-74a2-ba2e39f14dd4;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
34;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
35;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
36;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":864,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
37;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
43;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;ELEMENTSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_1"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
44;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;61aba2e4-64d8-f377-787e-9fc8e214dc8c;MATERIALSET;"{""action"":{""elementId"":""6"",""name"":""Pendiente palabra leboh"",""properties"":[{""name"":""Pendiente Palabra"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_palabra""},{""name"":""Pendiente Palabra_status"",""type"":""status"",""value"":""N""},{""name"":""Enganche Palabra"",""type"":""material"",""value"":""color_4"",""group"":""mat_enganche_palabra""},{""name"":""Enganche Palabra_status"",""type"":""status"",""value"":""U""}]},""label"":""MATERIALSET"",""category"":""MATERIALSET""}"
45;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
46;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
146;1,58E+12;2184b8eb-dac4-55b1-8151-d9e55c38b8c3;5f230012-084c-9989-2361-c88d7d4f07e5;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
47;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
48;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
49;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
50;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;ELEMENTSET;"{""action"":{""elementId"":""1"",""name"":""Pendiente Beatle"",""properties"":[{""name"":""Pendiente Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_beatle""},{""name"":""Pendiente Beatle_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_enganche_beatle""},{""name"":""Enganche Beatle_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
51;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
86;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;affbdc1c-256f-df31-bdf8-264b21c236e9;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
87;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;46897024-ab0c-23ab-b201-0c03d356222a;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
52;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;9d43ceb8-2186-0001-4a53-0e386e2bc955;ELEMENTSET;"{""action"":{""elementId"":""1"",""name"":""Pendiente Beatle"",""properties"":[{""name"":""Pendiente Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_beatle""},{""name"":""Pendiente Beatle_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_enganche_beatle""},{""name"":""Enganche Beatle_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
53;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;acccab1c-1236-2dcc-6f14-86e6efad6722;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
54;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;acccab1c-1236-2dcc-6f14-86e6efad6722;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
55;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;acccab1c-1236-2dcc-6f14-86e6efad6722;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
56;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;acccab1c-1236-2dcc-6f14-86e6efad6722;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
57;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;acccab1c-1236-2dcc-6f14-86e6efad6722;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
58;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;1482d11b-0564-eb4e-4a1a-df47eabf249c;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
59;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;1482d11b-0564-eb4e-4a1a-df47eabf249c;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
60;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;1482d11b-0564-eb4e-4a1a-df47eabf249c;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
61;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;1482d11b-0564-eb4e-4a1a-df47eabf249c;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
62;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;1482d11b-0564-eb4e-4a1a-df47eabf249c;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
63;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;9c0fcd41-3fe8-3914-aa27-a69301a41678;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
64;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;9c0fcd41-3fe8-3914-aa27-a69301a41678;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
65;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;9c0fcd41-3fe8-3914-aa27-a69301a41678;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":864,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
66;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;9c0fcd41-3fe8-3914-aa27-a69301a41678;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
67;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;9c0fcd41-3fe8-3914-aa27-a69301a41678;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
68;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;dc92a16d-dc09-020d-62d8-34acebc9073b;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
69;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;dc92a16d-dc09-020d-62d8-34acebc9073b;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
70;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;dc92a16d-dc09-020d-62d8-34acebc9073b;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
71;1,58E+12;4daa445a-0cdb-9c39-1fc3-ecc7ea6eeafb;dc92a16d-dc09-020d-62d8-34acebc9073b;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
72;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;f92540d9-27e3-362f-14b7-1776118d7689;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
73;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;f92540d9-27e3-362f-14b7-1776118d7689;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
74;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;f92540d9-27e3-362f-14b7-1776118d7689;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
75;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;f92540d9-27e3-362f-14b7-1776118d7689;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
76;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;f92540d9-27e3-362f-14b7-1776118d7689;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
77;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;caf50a3e-6adc-8939-39be-36cd6e36ccd8;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
78;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;caf50a3e-6adc-8939-39be-36cd6e36ccd8;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
256;1,58E+12;fc9e1ac8-4317-f245-6cc1-4c414299936d;aa7ad7eb-a44c-96b3-f07a-c0f48c9bf3c7;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
79;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;caf50a3e-6adc-8939-39be-36cd6e36ccd8;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
80;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;caf50a3e-6adc-8939-39be-36cd6e36ccd8;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
81;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;caf50a3e-6adc-8939-39be-36cd6e36ccd8;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
82;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;affbdc1c-256f-df31-bdf8-264b21c236e9;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
83;1,58E+12;1554ca04-1328-b556-eb28-3b19b02b2eec;affbdc1c-256f-df31-bdf8-264b21c236e9;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
